                                                                                                                                                                                                              17 Nov 2025 00:39:43
Civil Air Patrol Use Only
Satellite-Satellite13


      Time (UTCG)             x (km)          y (km)          z (km)      Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    -----------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -2473.858527    -2388.978460    5956.644673                 5.288161                -5.476051                -0.000001                90.000                   0.000               60.000       134.000
1 Oct 2025 06:00:01.000    -2468.568852    -2394.453047    5956.641024                 5.291188                -5.473121                -0.007298                90.063                   0.000               60.000       134.000
1 Oct 2025 06:00:02.000    -2463.276153    -2399.924700    5956.630078                 5.294209                -5.470185                -0.014594                90.127                   0.000               60.000       134.000
1 Oct 2025 06:00:03.000    -2457.980436    -2405.393414    5956.611835                 5.297223                -5.467241                -0.021891                90.190                   0.000               60.000       134.000
1 Oct 2025 06:00:04.000    -2452.681709    -2410.859181    5956.586296                 5.300231                -5.464292                -0.029188                90.254                   0.000               60.000       134.000
1 Oct 2025 06:00:05.000    -2447.379978    -2416.321995    5956.553460                 5.303232                -5.461335                -0.036484                90.317                   0.000               60.000       134.000
1 Oct 2025 06:00:06.000    -2442.075248    -2421.781849    5956.513328                 5.306226                -5.458372                -0.043781                90.380                   0.000               60.000       134.000
1 Oct 2025 06:00:07.000    -2436.767527    -2427.238736    5956.465898                 5.309215                -5.455402                -0.051077                90.444                   0.000               60.000       134.000
1 Oct 2025 06:00:08.000    -2431.456821    -2432.692650    5956.411173                 5.312196                -5.452425                -0.058374                90.507                   0.000               60.000       134.000
1 Oct 2025 06:00:09.000    -2426.143136    -2438.143584    5956.349151                 5.315172                -5.449442                -0.065670                90.571                   0.000               60.000       134.000
1 Oct 2025 06:00:10.000    -2420.826480    -2443.591531    5956.279833                 5.318140                -5.446452                -0.072966                90.634                   0.000               60.000       134.000
1 Oct 2025 06:00:11.000    -2415.506858    -2449.036485    5956.203218                 5.321102                -5.443455                -0.080263                90.698                   0.000               60.000       134.000
1 Oct 2025 06:00:12.000    -2410.184277    -2454.478439    5956.119307                 5.324058                -5.440452                -0.087559                90.761                   0.000               60.000       134.000
1 Oct 2025 06:00:13.000    -2404.858744    -2459.917387    5956.028100                 5.327007                -5.437442                -0.094855                90.824                   0.000               60.000       134.000
1 Oct 2025 06:00:14.000    -2399.530264    -2465.353321    5955.929598                 5.329950                -5.434425                -0.102151                90.888                   0.000               60.000       134.000
1 Oct 2025 06:00:15.000    -2394.198846    -2470.786235    5955.823799                 5.332886                -5.431402                -0.109446                90.951                   0.000               60.000       134.000
1 Oct 2025 06:00:16.000    -2388.864495    -2476.216122    5955.710705                 5.335816                -5.428372                -0.116742                91.015                   0.000               60.000       134.000
1 Oct 2025 06:00:17.000    -2383.527217    -2481.642977    5955.590315                 5.338739                -5.425335                -0.124038                91.078                   0.000               60.000       134.000
1 Oct 2025 06:00:18.000    -2378.187020    -2487.066791    5955.462630                 5.341655                -5.422292                -0.131333                91.141                   0.000               60.000       134.000
1 Oct 2025 06:00:19.000    -2372.843909    -2492.487559    5955.327649                 5.344565                -5.419242                -0.138628                91.205                   0.000               60.000       134.000
1 Oct 2025 06:00:20.000    -2367.497892    -2497.905273    5955.185374                 5.347468                -5.416186                -0.145923                91.268                   0.000               60.000       134.000
1 Oct 2025 06:00:21.000    -2362.148975    -2503.319928    5955.035803                 5.350365                -5.413122                -0.153218                91.332                   0.000               60.000       134.000
