                                                                                       22 Nov 2025 15:51:35
Civil Air Patrol Use Only
Aircraft-Aircraft3


      Time (UTCG)             x (km)          y (km)        z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    -----------    ----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -4625.770525    4410.994578    175.805898       36.466        1.483    16.056886
1 Oct 2025 06:00:01.000    -4626.460099    4410.259870    176.108961       36.471        1.486    16.057384
1 Oct 2025 06:00:02.000    -4627.149547    4409.525043    176.412023       36.476        1.488    16.057883
1 Oct 2025 06:00:03.000    -4627.838869    4408.790098    176.715082       36.481        1.491    16.058381
1 Oct 2025 06:00:04.000    -4628.528064    4408.055033    177.018140       36.486        1.494    16.058879
1 Oct 2025 06:00:05.000    -4629.217134    4407.319850    177.321196       36.491        1.497    16.059377
1 Oct 2025 06:00:06.000    -4629.906077    4406.584548    177.624250       36.496        1.499    16.059875
1 Oct 2025 06:00:07.000    -4630.594895    4405.849128    177.927302       36.500        1.502    16.060374
1 Oct 2025 06:00:08.000    -4631.283587    4405.113589    178.230353       36.505        1.505    16.060874
1 Oct 2025 06:00:09.000    -4631.972153    4404.377932    178.533401       36.510        1.507    16.061373
1 Oct 2025 06:00:10.000    -4632.660593    4403.642156    178.836448       36.515        1.510    16.061873
1 Oct 2025 06:00:11.000    -4633.348906    4402.906261    179.139493       36.520        1.513    16.062372
1 Oct 2025 06:00:12.000    -4634.037093    4402.170248    179.442537       36.525        1.516    16.062872
1 Oct 2025 06:00:13.000    -4634.725154    4401.434116    179.745578       36.530        1.518    16.063371
1 Oct 2025 06:00:14.000    -4635.413088    4400.697865    180.048618       36.534        1.521    16.063870
1 Oct 2025 06:00:15.000    -4636.100896    4399.961495    180.351656       36.539        1.524    16.064369
1 Oct 2025 06:00:16.000    -4636.788578    4399.225007    180.654692       36.544        1.526    16.064868
1 Oct 2025 06:00:17.000    -4637.476133    4398.488400    180.957726       36.549        1.529    16.065367
1 Oct 2025 06:00:18.000    -4638.163562    4397.751675    181.260758       36.554        1.532    16.065866
1 Oct 2025 06:00:19.000    -4638.850864    4397.014831    181.563789       36.559        1.535    16.066365
1 Oct 2025 06:00:20.000    -4639.538040    4396.277869    181.866817       36.564        1.537    16.066863
1 Oct 2025 06:00:21.000    -4640.225089    4395.540788    182.169844       36.568        1.540    16.067362
1 Oct 2025 06:00:22.000    -4640.912012    4394.803588    182.472869       36.573        1.543    16.067861
1 Oct 2025 06:00:23.000    -4641.598809    4394.066270    182.775892       36.578        1.545    16.068359
1 Oct 2025 06:00:24.000    -4642.285478    4393.328834    183.078914       36.583        1.548    16.068857
1 Oct 2025 06:00:25.000    -4642.972022    4392.591279    183.381933       36.588        1.551    16.069356
1 Oct 2025 06:00:26.000    -4643.658438    4391.853606    183.684951       36.593        1.554    16.069854
1 Oct 2025 06:00:27.000    -4644.344728    4391.115814    183.987966       36.598        1.556    16.070352
1 Oct 2025 06:00:28.000    -4645.030891    4390.377904    184.290980       36.602        1.559    16.070850
1 Oct 2025 06:00:29.000    -4645.716928    4389.639876    184.593992       36.607        1.562    16.071348
1 Oct 2025 06:00:30.000    -4646.402838    4388.901729    184.897002       36.612        1.564    16.071846
1 Oct 2025 06:00:31.000    -4647.088622    4388.163464    185.200011       36.617        1.567    16.072344
1 Oct 2025 06:00:32.000    -4647.774278    4387.425081    185.503017       36.622        1.570    16.072842
1 Oct 2025 06:00:33.000    -4648.459808    4386.686579    185.806021       36.627        1.573    16.073340
1 Oct 2025 06:00:34.000    -4649.145211    4385.947960    186.109024       36.632        1.575    16.073837
1 Oct 2025 06:00:35.000    -4649.830488    4385.209222    186.412025       36.636        1.578    16.074335
1 Oct 2025 06:00:36.000    -4650.515637    4384.470365    186.715024       36.641        1.581    16.074832
1 Oct 2025 06:00:37.000    -4651.200660    4383.731391    187.018021       36.646        1.583    16.075330
1 Oct 2025 06:00:38.000    -4651.885556    4382.992298    187.321016       36.651        1.586    16.075827
1 Oct 2025 06:00:39.000    -4652.570325    4382.253088    187.624009       36.656        1.589    16.076324
1 Oct 2025 06:00:40.000    -4653.254967    4381.513759    187.927000       36.661        1.592    16.076822
1 Oct 2025 06:00:41.000    -4653.939482    4380.774312    188.229989       36.666        1.594    16.077319
1 Oct 2025 06:00:42.000    -4654.623871    4380.034747    188.532977       36.670        1.597    16.077816
1 Oct 2025 06:00:43.000    -4655.308132    4379.295064    188.835963       36.675        1.600    16.078313
1 Oct 2025 06:00:44.000    -4655.992267    4378.555263    189.138946       36.680        1.603    16.078810
1 Oct 2025 06:00:45.000    -4656.676274    4377.815344    189.441928       36.685        1.605    16.079306
1 Oct 2025 06:00:46.000    -4657.360155    4377.075307    189.744908       36.690        1.608    16.079803
1 Oct 2025 06:00:47.000    -4658.043908    4376.335152    190.047886       36.695        1.611    16.080300
1 Oct 2025 06:00:48.000    -4658.727535    4375.594879    190.350862       36.700        1.613    16.080796
1 Oct 2025 06:00:49.000    -4659.411034    4374.854488    190.653836       36.704        1.616    16.081293
1 Oct 2025 06:00:50.000    -4660.094407    4374.113980    190.956808       36.709        1.619    16.081789
1 Oct 2025 06:00:51.000    -4660.777652    4373.373353    191.259778       36.714        1.622    16.082286
1 Oct 2025 06:00:52.000    -4661.460770    4372.632609    191.562746       36.719        1.624    16.082782
1 Oct 2025 06:00:53.000    -4662.143761    4371.891746    191.865713       36.724        1.627    16.083278
1 Oct 2025 06:00:54.000    -4662.826625    4371.150766    192.168677       36.729        1.630    16.083774
1 Oct 2025 06:00:55.000    -4663.509362    4370.409668    192.471640       36.734        1.632    16.084270
1 Oct 2025 06:00:56.000    -4664.191971    4369.668453    192.774600       36.738        1.635    16.084766
1 Oct 2025 06:00:57.000    -4664.874454    4368.927119    193.077559       36.743        1.638    16.085262
1 Oct 2025 06:00:58.000    -4665.556809    4368.185668    193.380515       36.748        1.641    16.085758
1 Oct 2025 06:00:59.000    -4666.239030    4367.444093    193.683470       36.753        1.643    16.086244
1 Oct 2025 06:01:00.000    -4666.921120    4366.702396    193.986422       36.758        1.646    16.086725
1 Oct 2025 06:01:01.000    -4667.603082    4365.960582    194.289372       36.763        1.649    16.087206
1 Oct 2025 06:01:02.000    -4668.284917    4365.218651    194.592321       36.768        1.651    16.087687
