                                                                                        22 Nov 2025 15:52:42
Civil Air Patrol Use Only
Aircraft-Aircraft4


      Time (UTCG)             x (km)          y (km)         z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    -----------    -----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -5945.743801    -710.442110    2223.930400       86.911       20.357    12.112373
1 Oct 2025 06:00:01.000    -5945.673408    -710.347383    2224.152158       86.906       20.359    12.114041
1 Oct 2025 06:00:02.000    -5945.603012    -710.252630    2224.373905       86.901       20.361    12.115710
1 Oct 2025 06:00:03.000    -5945.532613    -710.157848    2224.595640       86.896       20.363    12.117379
1 Oct 2025 06:00:04.000    -5945.462211    -710.063039    2224.817364       86.891       20.365    12.119047
1 Oct 2025 06:00:05.000    -5945.391805    -709.968202    2225.039077       86.886       20.367    12.120716
1 Oct 2025 06:00:06.000    -5945.321397    -709.873338    2225.260778       86.881       20.370    12.122385
1 Oct 2025 06:00:07.000    -5945.250986    -709.778446    2225.482468       86.876       20.372    12.124054
1 Oct 2025 06:00:08.000    -5945.180571    -709.683526    2225.704146       86.871       20.374    12.125723
1 Oct 2025 06:00:09.000    -5945.110154    -709.588579    2225.925814       86.866       20.376    12.127392
1 Oct 2025 06:00:10.000    -5945.039733    -709.493604    2226.147470       86.861       20.378    12.129061
1 Oct 2025 06:00:11.000    -5944.969310    -709.398601    2226.369114       86.856       20.380    12.130730
1 Oct 2025 06:00:12.000    -5944.898883    -709.303571    2226.590747       86.851       20.382    12.132399
1 Oct 2025 06:00:13.000    -5944.828453    -709.208513    2226.812369       86.846       20.384    12.134068
1 Oct 2025 06:00:14.000    -5944.758021    -709.113427    2227.033980       86.841       20.387    12.135737
1 Oct 2025 06:00:15.000    -5944.687585    -709.018314    2227.255579       86.836       20.389    12.137406
1 Oct 2025 06:00:16.000    -5944.617146    -708.923173    2227.477166       86.831       20.391    12.139075
1 Oct 2025 06:00:17.000    -5944.546704    -708.828004    2227.698743       86.826       20.393    12.140745
1 Oct 2025 06:00:18.000    -5944.476259    -708.732808    2227.920308       86.821       20.395    12.142414
1 Oct 2025 06:00:19.000    -5944.405811    -708.637584    2228.141861       86.816       20.397    12.144083
1 Oct 2025 06:00:20.000    -5944.335360    -708.542333    2228.363403       86.811       20.399    12.145752
1 Oct 2025 06:00:21.000    -5944.264906    -708.447054    2228.584934       86.806       20.401    12.147422
1 Oct 2025 06:00:22.000    -5944.194449    -708.351747    2228.806454       86.801       20.404    12.149091
1 Oct 2025 06:00:23.000    -5944.123989    -708.256413    2229.027961       86.796       20.406    12.150761
1 Oct 2025 06:00:24.000    -5944.053526    -708.161051    2229.249458       86.791       20.408    12.152430
1 Oct 2025 06:00:25.000    -5943.983060    -708.065661    2229.470943       86.785       20.410    12.154100
1 Oct 2025 06:00:26.000    -5943.912591    -707.970243    2229.692417       86.780       20.412    12.155769
1 Oct 2025 06:00:27.000    -5943.842118    -707.874798    2229.913879       86.775       20.414    12.157439
1 Oct 2025 06:00:28.000    -5943.771643    -707.779326    2230.135330       86.770       20.416    12.159109
1 Oct 2025 06:00:29.000    -5943.701165    -707.683825    2230.356770       86.765       20.418    12.160778
1 Oct 2025 06:00:30.000    -5943.630684    -707.588297    2230.578198       86.760       20.421    12.162448
1 Oct 2025 06:00:31.000    -5943.560199    -707.492742    2230.799614       86.755       20.423    12.164118
1 Oct 2025 06:00:32.000    -5943.489712    -707.397158    2231.021020       86.750       20.425    12.165788
1 Oct 2025 06:00:33.000    -5943.419226    -707.301548    2231.242415       86.745       20.427    12.167462
1 Oct 2025 06:00:34.000    -5943.348737    -707.205910    2231.463799       86.740       20.429    12.169136
