                                                                                                                                                                                                               17 Nov 2025 00:39:51
Civil Air Patrol Use Only
Satellite-Satellite43


      Time (UTCG)             x (km)          y (km)          z (km)       Derivative x (km/sec)    Derivative y (km/sec)    Derivative z (km/sec)    True Anomaly (deg)    Arg of Perigee (deg)    Inclination (deg)    RAAN (deg)
-----------------------    ------------    ------------    ------------    ---------------------    ---------------------    ---------------------    ------------------    --------------------    -----------------    ----------
1 Oct 2025 06:00:00.000    -4735.167953     -597.551370     4952.769597                -3.084198                -5.918111                -3.662713               123.750                   0.000               60.000        44.000
1 Oct 2025 06:00:01.000    -4738.249251     -603.469113     4949.103851                -3.078396                -5.917375                -3.668777               123.813                   0.000               60.000        44.000
1 Oct 2025 06:00:02.000    -4741.324744     -609.386117     4945.432043                -3.072590                -5.916632                -3.674838               123.877                   0.000               60.000        44.000
1 Oct 2025 06:00:03.000    -4744.394429     -615.302375     4941.754177                -3.066780                -5.915882                -3.680893               123.940                   0.000               60.000        44.000
1 Oct 2025 06:00:04.000    -4747.458303     -621.217879     4938.070258                -3.060966                -5.915125                -3.686945               124.004                   0.000               60.000        44.000
1 Oct 2025 06:00:05.000    -4750.516361     -627.132622     4934.380289                -3.055149                -5.914360                -3.692991               124.067                   0.000               60.000        44.000
1 Oct 2025 06:00:06.000    -4753.568600     -633.046597     4930.684276                -3.049328                -5.913588                -3.699034               124.130                   0.000               60.000        44.000
1 Oct 2025 06:00:07.000    -4756.615016     -638.959796     4926.982223                -3.043503                -5.912809                -3.705071               124.194                   0.000               60.000        44.000
1 Oct 2025 06:00:08.000    -4759.655605     -644.872213     4923.274135                -3.037675                -5.912023                -3.711104               124.257                   0.000               60.000        44.000
1 Oct 2025 06:00:09.000    -4762.690364     -650.783840     4919.560016                -3.031842                -5.911229                -3.717133               124.321                   0.000               60.000        44.000
1 Oct 2025 06:00:10.000    -4765.719288     -656.694669     4915.839871                -3.026006                -5.910429                -3.723157               124.384                   0.000               60.000        44.000
1 Oct 2025 06:00:11.000    -4768.742375     -662.604694     4912.113704                -3.020167                -5.909620                -3.729176               124.448                   0.000               60.000        44.000
1 Oct 2025 06:00:12.000    -4771.759621     -668.513908     4908.381519                -3.014323                -5.908805                -3.735191               124.511                   0.000               60.000        44.000
1 Oct 2025 06:00:13.000    -4774.771021     -674.422302     4904.643322                -3.008476                -5.907983                -3.741202               124.574                   0.000               60.000        44.000
1 Oct 2025 06:00:14.000    -4777.776572     -680.329871     4900.899117                -3.002625                -5.907153                -3.747207               124.638                   0.000               60.000        44.000
1 Oct 2025 06:00:15.000    -4780.776270     -686.236606     4897.148909                -2.996771                -5.906316                -3.753209               124.701                   0.000               60.000        44.000
1 Oct 2025 06:00:16.000    -4783.770112     -692.142500     4893.392702                -2.990913                -5.905472                -3.759205               124.765                   0.000               60.000        44.000
1 Oct 2025 06:00:17.000    -4786.758094     -698.047547     4889.630500                -2.985051                -5.904620                -3.765197               124.828                   0.000               60.000        44.000
1 Oct 2025 06:00:18.000    -4789.740213     -703.951738     4885.862309                -2.979186                -5.903761                -3.771184               124.891                   0.000               60.000        44.000
1 Oct 2025 06:00:19.000    -4792.716464     -709.855067     4882.088133                -2.973316                -5.902896                -3.777167               124.955                   0.000               60.000        44.000
1 Oct 2025 06:00:20.000    -4795.686844     -715.757527     4878.307976                -2.967444                -5.902022                -3.783145               125.018                   0.000               60.000        44.000
1 Oct 2025 06:00:21.000    -4798.651350     -721.659109     4874.521844                -2.961567                -5.901142                -3.789119               125.082                   0.000               60.000        44.000
1 Oct 2025 06:00:22.000    -4801.609978     -727.559808     4870.729741                -2.955687                -5.900254                -3.795087               125.145                   0.000               60.000        44.000
1 Oct 2025 06:00:23.000    -4804.562724     -733.459616     4866.931671                -2.949804                -5.899360                -3.801052               125.209                   0.000               60.000        44.000
1 Oct 2025 06:00:24.000    -4807.509584     -739.358525     4863.127639                -2.943916                -5.898457                -3.807011               125.272                   0.000               60.000        44.000
1 Oct 2025 06:00:25.000    -4810.450555     -745.256528     4859.317650                -2.938026                -5.897548                -3.812966               125.335                   0.000               60.000        44.000
1 Oct 2025 06:00:26.000    -4813.385634     -751.153619     4855.501708                -2.932131                -5.896632                -3.818916               125.399                   0.000               60.000        44.000
1 Oct 2025 06:00:27.000    -4816.314816     -757.049789     4851.679819                -2.926233                -5.895708                -3.824862               125.462                   0.000               60.000        44.000
1 Oct 2025 06:00:28.000    -4819.238099     -762.945032     4847.851987                -2.920331                -5.894777                -3.830802               125.526                   0.000               60.000        44.000
1 Oct 2025 06:00:29.000    -4822.155478     -768.839340     4844.018216                -2.914426                -5.893839                -3.836739               125.589                   0.000               60.000        44.000
1 Oct 2025 06:00:30.000    -4825.066950     -774.732707     4840.178511                -2.908517                -5.892893                -3.842670               125.652                   0.000               60.000        44.000
1 Oct 2025 06:00:31.000    -4827.972512     -780.625124     4836.332877                -2.902605                -5.891941                -3.848597               125.716                   0.000               60.000        44.000
1 Oct 2025 06:00:32.000    -4830.872159     -786.516586     4832.481319                -2.896689                -5.890981                -3.854519               125.779                   0.000               60.000        44.000
1 Oct 2025 06:00:33.000    -4833.765889     -792.407084     4828.623841                -2.890770                -5.890014                -3.860436               125.843                   0.000               60.000        44.000
1 Oct 2025 06:00:34.000    -4836.653698     -798.296611     4824.760449                -2.884847                -5.889039                -3.866349               125.906                   0.000               60.000        44.000
1 Oct 2025 06:00:35.000    -4839.535582     -804.185160     4820.891146                -2.878920                -5.888058                -3.872256               125.969                   0.000               60.000        44.000
1 Oct 2025 06:00:36.000    -4842.411537     -810.072724     4817.015938                -2.872990                -5.887069                -3.878159               126.033                   0.000               60.000        44.000
1 Oct 2025 06:00:37.000    -4845.281561     -815.959296     4813.134829                -2.867057                -5.886073                -3.884058               126.096                   0.000               60.000        44.000
1 Oct 2025 06:00:38.000    -4848.145650     -821.844869     4809.247824                -2.861120                -5.885070                -3.889951               126.160                   0.000               60.000        44.000
1 Oct 2025 06:00:39.000    -4851.003799     -827.729434     4805.354928                -2.855179                -5.884060                -3.895840               126.223                   0.000               60.000        44.000
1 Oct 2025 06:00:40.000    -4853.856007     -833.612986     4801.456145                -2.849235                -5.883042                -3.901724               126.287                   0.000               60.000        44.000
1 Oct 2025 06:00:41.000    -4856.702268     -839.495516     4797.551481                -2.843287                -5.882018                -3.907603               126.350                   0.000               60.000        44.000
1 Oct 2025 06:00:42.000    -4859.542581     -845.377019     4793.640940                -2.837336                -5.880986                -3.913478               126.413                   0.000               60.000        44.000
1 Oct 2025 06:00:43.000    -4862.376940     -851.257485     4789.724527                -2.831382                -5.879946                -3.919347               126.477                   0.000               60.000        44.000
1 Oct 2025 06:00:44.000    -4865.205343     -857.136909     4785.802247                -2.825424                -5.878900                -3.925212               126.540                   0.000               60.000        44.000
1 Oct 2025 06:00:45.000    -4868.027787     -863.015283     4781.874104                -2.819462                -5.877847                -3.931072               126.604                   0.000               60.000        44.000
1 Oct 2025 06:00:46.000    -4870.844267     -868.892600     4777.940104                -2.813498                -5.876786                -3.936928               126.667                   0.000               60.000        44.000
1 Oct 2025 06:00:47.000    -4873.654781     -874.768852     4774.000251                -2.807529                -5.875718                -3.942778               126.730                   0.000               60.000        44.000
1 Oct 2025 06:00:48.000    -4876.459324     -880.644033     4770.054550                -2.801557                -5.874643                -3.948624               126.794                   0.000               60.000        44.000
1 Oct 2025 06:00:49.000    -4879.257894     -886.518135     4766.103005                -2.795582                -5.873560                -3.954464               126.857                   0.000               60.000        44.000
1 Oct 2025 06:00:50.000    -4882.050488     -892.391151     4762.145623                -2.789604                -5.872471                -3.960300               126.921                   0.000               60.000        44.000
1 Oct 2025 06:00:51.000    -4884.837100     -898.263074     4758.182406                -2.783621                -5.871374                -3.966131               126.984                   0.000               60.000        44.000
1 Oct 2025 06:00:52.000    -4887.617729     -904.133896     4754.213362                -2.777636                -5.870270                -3.971957               127.048                   0.000               60.000        44.000
1 Oct 2025 06:00:53.000    -4890.392371     -910.003611     4750.238493                -2.771647                -5.869159                -3.977779               127.111                   0.000               60.000        44.000
1 Oct 2025 06:00:54.000    -4893.161023     -915.872212     4746.257806                -2.765655                -5.868041                -3.983595               127.174                   0.000               60.000        44.000
1 Oct 2025 06:00:55.000    -4895.923680     -921.739690     4742.271304                -2.759659                -5.866915                -3.989407               127.238                   0.000               60.000        44.000
1 Oct 2025 06:00:56.000    -4898.680340     -927.606039     4738.278994                -2.753660                -5.865782                -3.995213               127.301                   0.000               60.000        44.000
1 Oct 2025 06:00:57.000    -4901.430999     -933.471252     4734.280879                -2.747658                -5.864642                -4.001015               127.365                   0.000               60.000        44.000
1 Oct 2025 06:00:58.000    -4904.175654     -939.335322     4730.276965                -2.741652                -5.863495                -4.006812               127.428                   0.000               60.000        44.000
1 Oct 2025 06:00:59.000    -4906.914302     -945.198241     4726.267256                -2.735643                -5.862341                -4.012604               127.491                   0.000               60.000        44.000
1 Oct 2025 06:01:00.000    -4909.646939     -951.060002     4722.251758                -2.729630                -5.861180                -4.018391               127.555                   0.000               60.000        44.000
1 Oct 2025 06:01:01.000    -4912.373562     -956.920598     4718.230475                -2.723615                -5.860011                -4.024173               127.618                   0.000               60.000        44.000
1 Oct 2025 06:01:02.000    -4915.094167     -962.780022     4714.203413                -2.717595                -5.858835                -4.029951               127.682                   0.000               60.000        44.000
1 Oct 2025 06:01:03.000    -4917.808751     -968.638266     4710.170576                -2.711573                -5.857652                -4.035723               127.745                   0.000               60.000        44.000
1 Oct 2025 06:01:04.000    -4920.517312     -974.495324     4706.131969                -2.705547                -5.856462                -4.041490               127.808                   0.000               60.000        44.000
1 Oct 2025 06:01:05.000    -4923.219844     -980.351188     4702.087597                -2.699518                -5.855265                -4.047253               127.872                   0.000               60.000        44.000
1 Oct 2025 06:01:06.000    -4925.916346     -986.205852     4698.037466                -2.693485                -5.854060                -4.053010               127.935                   0.000               60.000        44.000
1 Oct 2025 06:01:07.000    -4928.606814     -992.059307     4693.981579                -2.687450                -5.852849                -4.058762               127.999                   0.000               60.000        44.000
1 Oct 2025 06:01:08.000    -4931.291245     -997.911547     4689.919942                -2.681411                -5.851630                -4.064510               128.062                   0.000               60.000        44.000
1 Oct 2025 06:01:09.000    -4933.969634    -1003.762564     4685.852561                -2.675368                -5.850404                -4.070252               128.126                   0.000               60.000        44.000
1 Oct 2025 06:01:10.000    -4936.641980    -1009.612352     4681.779439                -2.669323                -5.849171                -4.075990               128.189                   0.000               60.000        44.000
1 Oct 2025 06:01:11.000    -4939.308279    -1015.460904     4677.700582                -2.663274                -5.847930                -4.081723               128.252                   0.000               60.000        44.000
1 Oct 2025 06:01:12.000    -4941.968527    -1021.308211     4673.615996                -2.657222                -5.846683                -4.087450               128.316                   0.000               60.000        44.000
1 Oct 2025 06:01:13.000    -4944.622722    -1027.154267     4669.525684                -2.651166                -5.845428                -4.093173               128.379                   0.000               60.000        44.000
1 Oct 2025 06:01:14.000    -4947.270859    -1032.999065     4665.429652                -2.645108                -5.844167                -4.098890               128.443                   0.000               60.000        44.000
1 Oct 2025 06:01:15.000    -4949.912936    -1038.842598     4661.327905                -2.639046                -5.842898                -4.104603               128.506                   0.000               60.000        44.000
1 Oct 2025 06:01:16.000    -4952.548950    -1044.684858     4657.220449                -2.632981                -5.841621                -4.110310               128.569                   0.000               60.000        44.000
1 Oct 2025 06:01:17.000    -4955.178897    -1050.525839     4653.107287                -2.626913                -5.840338                -4.116012               128.633                   0.000               60.000        44.000
1 Oct 2025 06:01:18.000    -4957.802774    -1056.365532     4648.988425                -2.620841                -5.839048                -4.121710               128.696                   0.000               60.000        44.000
1 Oct 2025 06:01:19.000    -4960.420578    -1062.203932     4644.863869                -2.614766                -5.837750                -4.127402               128.760                   0.000               60.000        44.000
1 Oct 2025 06:01:20.000    -4963.032305    -1068.041030     4640.733623                -2.608688                -5.836445                -4.133089               128.823                   0.000               60.000        44.000
1 Oct 2025 06:01:21.000    -4965.637953    -1073.876820     4636.597692                -2.602607                -5.835134                -4.138772               128.887                   0.000               60.000        44.000
1 Oct 2025 06:01:22.000    -4968.237518    -1079.711295     4632.456081                -2.596523                -5.833814                -4.144449               128.950                   0.000               60.000        44.000
1 Oct 2025 06:01:23.000    -4970.830998    -1085.544447     4628.308796                -2.590435                -5.832488                -4.150121               129.013                   0.000               60.000        44.000
1 Oct 2025 06:01:24.000    -4973.418388    -1091.376269     4624.155841                -2.584345                -5.831155                -4.155788               129.077                   0.000               60.000        44.000
1 Oct 2025 06:01:25.000    -4975.999686    -1097.206754     4619.997222                -2.578251                -5.829814                -4.161450               129.140                   0.000               60.000        44.000
1 Oct 2025 06:01:26.000    -4978.574888    -1103.035895     4615.832943                -2.572154                -5.828467                -4.167107               129.204                   0.000               60.000        44.000
1 Oct 2025 06:01:27.000    -4981.143992    -1108.863685     4611.663010                -2.566054                -5.827112                -4.172758               129.267                   0.000               60.000        44.000
1 Oct 2025 06:01:28.000    -4983.706994    -1114.690117     4607.487428                -2.559950                -5.825750                -4.178405               129.330                   0.000               60.000        44.000
1 Oct 2025 06:01:29.000    -4986.263891    -1120.515183     4603.306202                -2.553844                -5.824381                -4.184046               129.394                   0.000               60.000        44.000
1 Oct 2025 06:01:30.000    -4988.814681    -1126.338877     4599.119337                -2.547734                -5.823005                -4.189683               129.457                   0.000               60.000        44.000
1 Oct 2025 06:01:31.000    -4991.359359    -1132.161191     4594.926838                -2.541621                -5.821622                -4.195314               129.521                   0.000               60.000        44.000
1 Oct 2025 06:01:32.000    -4993.897922    -1137.982118     4590.728711                -2.535506                -5.820231                -4.200940               129.584                   0.000               60.000        44.000
1 Oct 2025 06:01:33.000    -4996.430369    -1143.801651     4586.524960                -2.529387                -5.818834                -4.206561               129.647                   0.000               60.000        44.000
1 Oct 2025 06:01:34.000    -4998.956695    -1149.619783     4582.315591                -2.523265                -5.817429                -4.212177               129.711                   0.000               60.000        44.000
1 Oct 2025 06:01:35.000    -5001.476897    -1155.436507     4578.100609                -2.517140                -5.816017                -4.217787               129.774                   0.000               60.000        44.000
1 Oct 2025 06:01:36.000    -5003.990973    -1161.251815     4573.880018                -2.511011                -5.814598                -4.223393               129.838                   0.000               60.000        44.000
1 Oct 2025 06:01:37.000    -5006.498919    -1167.065701     4569.653825                -2.504880                -5.813172                -4.228993               129.901                   0.000               60.000        44.000
1 Oct 2025 06:01:38.000    -5009.000732    -1172.878158     4565.422034                -2.498746                -5.811739                -4.234588               129.965                   0.000               60.000        44.000
1 Oct 2025 06:01:39.000    -5011.496410    -1178.689177     4561.184651                -2.492608                -5.810299                -4.240178               130.028                   0.000               60.000        44.000
1 Oct 2025 06:01:40.000    -5013.985948    -1184.498753     4556.941680                -2.486468                -5.808851                -4.245763               130.091                   0.000               60.000        44.000
1 Oct 2025 06:01:41.000    -5016.469345    -1190.306878     4552.693127                -2.480325                -5.807397                -4.251342               130.155                   0.000               60.000        44.000
1 Oct 2025 06:01:42.000    -5018.946596    -1196.113544     4548.438997                -2.474178                -5.805935                -4.256916               130.218                   0.000               60.000        44.000
1 Oct 2025 06:01:43.000    -5021.417700    -1201.918746     4544.179296                -2.468028                -5.804466                -4.262486               130.282                   0.000               60.000        44.000
1 Oct 2025 06:01:44.000    -5023.882652    -1207.722475     4539.914028                -2.461876                -5.802991                -4.268049               130.345                   0.000               60.000        44.000
1 Oct 2025 06:01:45.000    -5026.341450    -1213.524724     4535.643199                -2.455720                -5.801508                -4.273608               130.408                   0.000               60.000        44.000
1 Oct 2025 06:01:46.000    -5028.794092    -1219.325488     4531.366814                -2.449562                -5.800018                -4.279161               130.472                   0.000               60.000        44.000
1 Oct 2025 06:01:47.000    -5031.240573    -1225.124757     4527.084878                -2.443400                -5.798520                -4.284710               130.535                   0.000               60.000        44.000
1 Oct 2025 06:01:48.000    -5033.680891    -1230.922526     4522.797396                -2.437235                -5.797016                -4.290253               130.599                   0.000               60.000        44.000
1 Oct 2025 06:01:49.000    -5036.115042    -1236.718787     4518.504374                -2.431068                -5.795505                -4.295790               130.662                   0.000               60.000        44.000
1 Oct 2025 06:01:50.000    -5038.543025    -1242.513533     4514.205818                -2.424897                -5.793986                -4.301323               130.726                   0.000               60.000        44.000
1 Oct 2025 06:01:51.000    -5040.964836    -1248.306757     4509.901731                -2.418724                -5.792461                -4.306850               130.789                   0.000               60.000        44.000
1 Oct 2025 06:01:52.000    -5043.380472    -1254.098452     4505.592120                -2.412547                -5.790928                -4.312372               130.852                   0.000               60.000        44.000
1 Oct 2025 06:01:53.000    -5045.789929    -1259.888610     4501.276990                -2.406368                -5.789388                -4.317888               130.916                   0.000               60.000        44.000
1 Oct 2025 06:01:54.000    -5048.193206    -1265.677225     4496.956346                -2.400185                -5.787841                -4.323399               130.979                   0.000               60.000        44.000
1 Oct 2025 06:01:55.000    -5050.590299    -1271.464290     4492.630193                -2.394000                -5.786287                -4.328905               131.043                   0.000               60.000        44.000
1 Oct 2025 06:01:56.000    -5052.981205    -1277.249798     4488.298537                -2.387812                -5.784726                -4.334406               131.106                   0.000               60.000        44.000
1 Oct 2025 06:01:57.000    -5055.365921    -1283.033740     4483.961383                -2.381621                -5.783158                -4.339901               131.169                   0.000               60.000        44.000
1 Oct 2025 06:01:58.000    -5057.744445    -1288.816111     4479.618736                -2.375426                -5.781583                -4.345391               131.233                   0.000               60.000        44.000
1 Oct 2025 06:01:59.000    -5060.116773    -1294.596904     4475.270602                -2.369229                -5.780001                -4.350876               131.296                   0.000               60.000        44.000
1 Oct 2025 06:02:00.000    -5062.482903    -1300.376110     4470.916985                -2.363029                -5.778411                -4.356356               131.360                   0.000               60.000        44.000
1 Oct 2025 06:02:01.000    -5064.842831    -1306.153724     4466.557892                -2.356827                -5.776815                -4.361830               131.423                   0.000               60.000        44.000
1 Oct 2025 06:02:02.000    -5067.196555    -1311.929737     4462.193328                -2.350621                -5.775211                -4.367298               131.486                   0.000               60.000        44.000
1 Oct 2025 06:02:03.000    -5069.544072    -1317.704144     4457.823297                -2.344412                -5.773601                -4.372762               131.550                   0.000               60.000        44.000
1 Oct 2025 06:02:04.000    -5071.885379    -1323.476936     4453.447806                -2.338201                -5.771983                -4.378220               131.613                   0.000               60.000        44.000
