                                                                                         22 Nov 2025 15:58:06
Civil Air Patrol Use Only
Aircraft-Aircraft6


      Time (UTCG)             x (km)          y (km)          z (km)      Lon (deg)    Lat (deg)     Alt (km)
-----------------------    ------------    ------------    -----------    ---------    ---------    ---------
1 Oct 2025 06:00:00.000    -4457.340991    -2471.357867    3845.897570      109.057       37.096    14.460290
1 Oct 2025 06:00:01.000    -4456.917785    -2472.200985    3845.846324      109.064       37.095    14.460186
1 Oct 2025 06:00:02.000    -4456.494445    -2473.044031    3845.795046      109.070       37.095    14.460081
1 Oct 2025 06:00:03.000    -4456.070971    -2473.887004    3845.743737      109.076       37.094    14.459977
1 Oct 2025 06:00:04.000    -4455.647365    -2474.729906    3845.692398      109.083       37.094    14.459873
1 Oct 2025 06:00:05.000    -4455.223625    -2475.572735    3845.641028      109.089       37.093    14.459768
1 Oct 2025 06:00:06.000    -4454.799751    -2476.415491    3845.589626      109.096       37.093    14.459664
1 Oct 2025 06:00:07.000    -4454.375745    -2477.258176    3845.538194      109.102       37.092    14.459560
1 Oct 2025 06:00:08.000    -4453.951605    -2478.100788    3845.486731      109.108       37.091    14.459455
1 Oct 2025 06:00:09.000    -4453.527331    -2478.943328    3845.435237      109.115       37.091    14.459351
1 Oct 2025 06:00:10.000    -4453.102925    -2479.785795    3845.383713      109.121       37.090    14.459246
1 Oct 2025 06:00:11.000    -4452.678385    -2480.628190    3845.332157      109.128       37.090    14.459142
1 Oct 2025 06:00:12.000    -4452.253712    -2481.470512    3845.280571      109.134       37.089    14.459038
1 Oct 2025 06:00:13.000    -4451.828906    -2482.312762    3845.228953      109.140       37.089    14.458933
1 Oct 2025 06:00:14.000    -4451.403966    -2483.154940    3845.177305      109.147       37.088    14.458829
1 Oct 2025 06:00:15.000    -4450.978893    -2483.997045    3845.125626      109.153       37.087    14.458725
1 Oct 2025 06:00:16.000    -4450.553687    -2484.839077    3845.073916      109.160       37.087    14.458620
1 Oct 2025 06:00:17.000    -4450.128348    -2485.681037    3845.022175      109.166       37.086    14.458516
1 Oct 2025 06:00:18.000    -4449.702876    -2486.522925    3844.970404      109.172       37.086    14.458412
1 Oct 2025 06:00:19.000    -4449.277270    -2487.364740    3844.918601      109.179       37.085    14.458307
1 Oct 2025 06:00:20.000    -4448.851531    -2488.206482    3844.866768      109.185       37.085    14.458203
1 Oct 2025 06:00:21.000    -4448.425660    -2489.048151    3844.814904      109.192       37.084    14.458099
1 Oct 2025 06:00:22.000    -4447.999655    -2489.889748    3844.763009      109.198       37.083    14.457994
1 Oct 2025 06:00:23.000    -4447.573517    -2490.731273    3844.711083      109.204       37.083    14.457890
1 Oct 2025 06:00:24.000    -4447.147245    -2491.572724    3844.659126      109.211       37.082    14.457786
1 Oct 2025 06:00:25.000    -4446.720841    -2492.414103    3844.607138      109.217       37.082    14.457681
1 Oct 2025 06:00:26.000    -4446.294304    -2493.255409    3844.555120      109.224       37.081    14.457577
1 Oct 2025 06:00:27.000    -4445.867633    -2494.096642    3844.503070      109.230       37.081    14.457473
1 Oct 2025 06:00:28.000    -4445.440830    -2494.937803    3844.450990      109.236       37.080    14.457368
1 Oct 2025 06:00:29.000    -4445.013893    -2495.778891    3844.398879      109.243       37.079    14.457264
1 Oct 2025 06:00:30.000    -4444.586824    -2496.619906    3844.346737      109.249       37.079    14.457160
1 Oct 2025 06:00:31.000    -4444.159621    -2497.460847    3844.294564      109.256       37.078    14.457054
1 Oct 2025 06:00:32.000    -4443.732284    -2498.301716    3844.242359      109.262       37.078    14.456948
1 Oct 2025 06:00:33.000    -4443.304815    -2499.142512    3844.190124      109.268       37.077    14.456843
1 Oct 2025 06:00:34.000    -4442.877212    -2499.983235    3844.137858      109.275       37.076    14.456737
1 Oct 2025 06:00:35.000    -4442.449477    -2500.823885    3844.085561      109.281       37.076    14.456631
1 Oct 2025 06:00:36.000    -4442.021608    -2501.664462    3844.033233      109.288       37.075    14.456526
1 Oct 2025 06:00:37.000    -4441.593607    -2502.504966    3843.980875      109.294       37.075    14.456420
1 Oct 2025 06:00:38.000    -4441.165473    -2503.345397    3843.928485      109.300       37.074    14.456314
1 Oct 2025 06:00:39.000    -4440.737206    -2504.185755    3843.876065      109.307       37.074    14.456208
1 Oct 2025 06:00:40.000    -4440.308805    -2505.026040    3843.823614      109.313       37.073    14.456103
1 Oct 2025 06:00:41.000    -4439.880272    -2505.866252    3843.771132      109.320       37.072    14.455997
1 Oct 2025 06:00:42.000    -4439.451607    -2506.706391    3843.718619      109.326       37.072    14.455891
1 Oct 2025 06:00:43.000    -4439.022808    -2507.546457    3843.666075      109.332       37.071    14.455786
1 Oct 2025 06:00:44.000    -4438.593876    -2508.386450    3843.613501      109.339       37.071    14.455680
1 Oct 2025 06:00:45.000    -4438.164812    -2509.226369    3843.560895      109.345       37.070    14.455574
1 Oct 2025 06:00:46.000    -4437.735615    -2510.066216    3843.508259      109.352       37.070    14.455468
1 Oct 2025 06:00:47.000    -4437.306285    -2510.905989    3843.455592      109.358       37.069    14.455363
1 Oct 2025 06:00:48.000    -4436.876822    -2511.745689    3843.402894      109.364       37.068    14.455257
1 Oct 2025 06:00:49.000    -4436.447226    -2512.585316    3843.350166      109.371       37.068    14.455151
1 Oct 2025 06:00:50.000    -4436.017498    -2513.424869    3843.297406      109.377       37.067    14.455045
